ID,NDVI,NDRE,E,N
485,0.0713744,0.0407191,336596.295,4451852.229
486,0.009056,0.0539057,336391.295,4451847.229
487,0.0095746,0.0417394,336396.295,4451847.229
488,-0.1289567,0.0651242,336401.295,4451847.229
489,0.0923781,0.0931845,336406.295,4451847.229
490,-0.0511146,0.0652264,336411.295,4451847.229
491,-0.0614967,0.0735608,336416.295,4451847.229
492,-0.0224279,0.0633882,336421.295,4451847.229
493,0.1600849,0.083671,336426.295,4451847.229
494,-0.1233506,0.0605552,336431.295,4451847.229
495,-0.1233163,0.0695837,336436.295,4451847.229
496,-0.0920393,0.0522402,336441.295,4451847.229
497,-0.0241437,0.0863747,336446.295,4451847.229
498,-0.1119485,0.0913947,336461.295,4451847.229
499,0.0761296,0.0920742,336466.295,4451847.229
500,0.0265444,0.0475544,336471.295,4451847.229
501,-0.1207788,0.0409076,336476.295,4451847.229
502,-0.0854971,0.0290394,336481.295,4451847.229
503,-0.0794537,0.0469259,336491.295,4451847.229
504,-0.0313084,0.0606806,336496.295,4451847.229
505,-0.1159939,0.0164129,336501.295,4451847.229
506,0.0318998,0.0469586,336506.295,4451847.229
507,0.113248,0.067712,336511.295,4451847.229
508,-0.0818496,0.0285623,336516.295,4451847.229
509,-0.0685153,0.0611941,336521.295,4451847.229
510,-0.0096305,0.0526977,336526.295,4451847.229
511,-0.0022418,0.0513874,336531.295,4451847.229
512,-0.075982,0.0440715,336536.295,4451847.229
513,-0.00258,0.0589355,336541.295,4451847.229
514,-0.0450776,0.0674178,336546.295,4451847.229
515,-0.1155973,0.0415841,336551.295,4451847.229
516,0.0004143,0.1008752,336556.295,4451847.229
517,0.0191801,0.0767472,336561.295,4451847.229
518,0.152436,0.0898295,336566.295,4451847.229
519,-0.0591515,0.0826526,336571.295,4451847.229
520,-0.0391873,0.0742074,336576.295,4451847.229
521,0.1136098,0.056366,336581.295,4451847.229
522,-0.022328,0.0637226,336586.295,4451847.229
523,-0.067495,0.0575355,336591.295,4451847.229
524,-0.1496586,0.0553718,336596.295,4451847.229
525,0.1318901,0.0806393,336601.295,4451847.229
526,0.1703861,0.0866783,336396.295,4451842.229
527,-0.0298283,0.0453686,336401.295,4451842.229
528,-0.0833504,0.0598435,336406.295,4451842.229
529,0.0111152,0.0701692,336411.295,4451842.229
530,-0.020762,0.0704354,336416.295,4451842.229
531,-0.0670106,0.0919282,336426.295,4451842.229
532,-0.0277945,0.0727401,336431.295,4451842.229
533,0.0319033,0.0708554,336436.295,4451842.229
534,-0.0034605,0.0974794,336441.295,4451842.229
535,-0.1449845,0.0467554,336446.295,4451842.229
536,-0.0824943,0.0765259,336456.295,4451842.229
537,-0.0799566,0.0602617,336471.295,4451842.229
538,-0.0422985,0.0741164,336481.295,4451842.229
539,0.0801829,0.0609462,336486.295,4451842.229
540,-0.0700597,0.0614536,336491.295,4451842.229
541,-0.016075,0.018436,336496.295,4451842.229
542,-0.0558134,0.0526573,336501.295,4451842.229
543,0.0634938,0.0429045,336506.295,4451842.229
544,0.0110093,0.033047,336511.295,4451842.229
545,-0.0439573,0.0510446,336516.295,4451842.229
546,0.0083518,0.0566517,336521.295,4451842.229
